Year,NumEvents
1896,43
1900,90
1904,95
1906,74
1908,109
1912,107
1920,158
1924,131
1928,122
1932,131
1936,150
1948,153
1952,149
1956,151
1960,150
1964,163
1968,172
1972,193
1976,198
1980,203
1984,221
1988,237
1992,257
1996,271
2000,300
2004,301
2008,302
2012,302
2016,306
