medalistID,Name,Sex,Age,Height,Weight,Team,NOC,Season,Sport,TopMedal,TotalMedals
8402,Silvano Basagni,M,34,182,84,Italy,ITA,Summer,Shooting,1,1
8409,Hakk Baar,M,22,185,97,Turkey,TUR,Summer,Wrestling,2,1
8411,Iurie Bacatov,M,20,190,85,Soviet Union,URS,Summer,Swimming,2,2
8417,Dimitri David Bascou,M,29,181,80,France,FRA,Summer,Athletics,1,1
8429,Khalid Bashir,M,24,177,65,Pakistan,PAK,Summer,Hockey,1,1
8431,Muhammad Bashir,M,25,168,73,Pakistan,PAK,Summer,Wrestling,1,1
8443,Clara Basiana Caellas,F,21,170,39,Spain,ESP,Summer,Synchronized Swimming,1,1
8445,Mirko Bai,M,23,188,90,Yugoslavia,YUG,Summer,Handball,3,2
8452,Fabio Basile,M,21,160,66,Italy,ITA,Summer,Judo,3,1
8453,Gianluca Basile,M,29,192,94,Italy,ITA,Summer,Basketball,2,1
8456,Igor Mikhaylovich Basinsky,M,25,180,97,Soviet Union,URS,Summer,Shooting,2,4
8474,"Raymond Henry ""Benny"" Bass",M,22,167,59,United States,USA,Summer,Gymnastics,3,1
8479,Christian Gustavo Bassedas,M,23,176,74,Argentina,ARG,Summer,Football,2,1
8481,Christian Bassemir,M,28,178,76,West Germany,FRG,Summer,Hockey,2,1
8488,Lanny Robert Bassham,M,25,175,73,United States,USA,Summer,Shooting,3,2
8508,Evert Bastet,M,34,183,90,Canada,CAN,Summer,Sailing,2,1
8509,Istvn Bsti,M,24,174,62,Hungary,HUN,Summer,Football,3,1
8514,Guillaume Bastille,M,24,176,70,Canada,CAN,Winter,Short Track Speed Skating,3,1
8515,Dsir Bastin,M,20,172,70,Belgium,BEL,Summer,Football,3,1
8525,Waldemar Romuald Baszanowski,M,29,165,65.5,Poland,POL,Summer,Weightlifting,3,2
8538,"Joseph Laws ""Joe"" Batchelder",M,26,186,84,Bingo,USA,Summer,Sailing,1,1
8541,"Stephen James ""Steve"" Batchelor",M,23,180,79,Great Britain,GBR,Summer,Hockey,3,2
8552,"Alfred Hilborn ""Al"" Bates",M,23,183,70,United States,USA,Summer,Athletics,1,1
8556,Michael Dion Bates,M,22,180,86,United States,USA,Summer,Athletics,1,1
8559,Vladimir Batez,M,26,192,85,Serbia and Montenegro,SCG,Summer,Volleyball,3,2
8573,Joo Santos Batista,M,27,179,68,Brazil,BRA,Summer,Football,2,1
